onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	8	1	vggtest_6om-fZvxe70_30000_40000	1	497	0.000000
38	8	1	vggtest_HWjQnxlvwa0_430000_440000	1	658	0.000000
46	8	1	vggtest_G_jA6itU_FA_125000_135000	1	648	0.000000
54	8	1	vggtest_1uhuVsFGe6E_50000_60000	1	367	0.000000
62	8	1	vggtest_1yWGmdevTuM_30000_40000	1	377	0.000000
70	8	1	vggtest_-jZENGDFArw_80000_90000	1	73	0.000000
78	8	1	vggtest_31O2j4aAgYU_30000_40000	1	449	0.000000
86	8	1	vggtest_-rTTPoBJNI4_123000_133000	1	88	0.000000
94	8	1	vggtest_idS-vH-vTw0_111000_121000	1	1031	0.000000
102	8	2	vggtest_idS-vH-vTw0_111000_121000	1	1031	0.000000
110	8	1	vggtest_eJSpibgl0-c_30000_40000	1	985	0.000000
118	8	1	vggtest_RYia-H9Hm88_0_10000	1	803	0.000000
126	8	1	vggtest_0CEsVHHkwww_30000_40000	1	112	0.000000
134	8	1	vggtest_0T966F09Q_8_0_10000	1	155	0.000000
142	8	1	vggtest_1_Yd3NwpP7M_210000_220000	1	307	0.000000
150	8	1	vggtest_RA8ck5zeHM0_0_10000	1	798	0.000000
158	8	1	vggtest_QySssFgqGq0_121000_131000	1	793	0.000000
166	8	1	vggtest_-hedbpc8T0E_30000_40000	1	69	0.000000
174	8	1	vggtest_-3b9gwBYXp8_503000_513000	1	11	0.000000
182	8	1	vggtest_0XxinBtKouQ_30000_40000	1	165	0.000000
190	8	2	vggtest_0XxinBtKouQ_30000_40000	1	165	0.000000
198	8	1	vggtest_EhLPUSnX2_Q_81000_91000	1	628	0.000000
206	8	1	vggtest_1W9fwoe4O-M_117000_127000	1	296	0.000000
214	8	1	vggtest_UYScnXPxERQ_150000_160000	1	842	0.000000
222	8	1	vggtest_0foC-4n-eH0_0_10000	1	187	0.000000
230	8	1	vggtest_2HZcxlRs-hg_30000_40000	1	405	0.000000
238	8	1	vggtest_1DrrBnFlylU_0_10000	1	250	0.000000
246	8	1	vggtest_i8kGE-XRat4_11000_21000	1	1028	0.000000
254	8	1	vggtest_lI3P985JB7k_105000_115000	1	1059	0.000000
262	8	1	vggtest_-qtYcqvW_oc_330000_340000	1	85	0.000000
270	8	1	vggtest_nhxCeq3sg2U_153000_163000	1	1090	0.000000
278	8	1	vggtest_tGUWSgewh0A_270000_280000	1	1143	0.000000
286	8	2	vggtest_tGUWSgewh0A_270000_280000	1	1143	0.000000
294	8	1	vggtest_2bCuw7U_Rac_390000_400000	1	423	0.000000
302	8	1	vggtest_uRhiZy8FsSU_30000_40000	1	1153	0.000000
310	8	1	vggtest_LGrpsZ7BsQA_30000_40000	1	717	0.000000
318	8	1	vggtest_1KLmIS-v60U_10000_20000	1	267	0.000000
326	8	1	vggtest_jBbwzM6A6Bo_42000_52000	1	1036	0.000000
334	8	1	vggtest_If1yxmaJ14M_170000_180000	1	678	0.000000
342	8	1	vggtest_asoU_mVzI1g_6000_16000	1	945	0.000000
350	8	1	vggtest_0he6VV5Y9Bg_30000_40000	1	195	0.000000
358	8	1	vggtest_jPKhBkLgFLk_16000_26000	1	1038	0.000000
366	8	2	vggtest_jPKhBkLgFLk_16000_26000	1	1038	0.000000
374	8	1	vggtest_QRKc90kuAaE_560000_570000	1	783	0.000000
382	8	1	vggtest_0xDlT_u31fg_30000_40000	1	235	0.000000
390	8	1	vggtest_ZRBdcMCPFV8_39000_49000	1	918	0.000000
398	8	1	vggtest_0wzsE67O5tE_230000_240000	1	233	0.000000
406	8	1	vggtest_1DlGh4su-Ms_25000_35000	1	249	0.000000
414	8	2	vggtest_1DlGh4su-Ms_25000_35000	1	249	0.000000
422	8	1	vggtest_1n_s2Gb5R1Q_30000_40000	1	350	0.000000
430	8	1	vggtest_2MKPKDQcgVc_36000_46000	1	411	0.000000
438	8	1	vggtest_IPYHy8k9Z34_50000_60000	1	673	0.000000
446	8	1	vggtest_-aK9JKAGme0_51000_61000	1	51	0.000000
454	8	1	vggtest_7OhXiEHalAk_63000_73000	1	511	0.000000
462	8	1	vggtest_-h5ZGw9Ci5c_450000_460000	1	64	0.000000
470	10	-2	n/a	n/a	n/a	0.000000
