onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	8	1	vggtest_mCaniZpghFE_310000_320000	1	1070	0.000000
38	8	1	vggtest_-dRucPKqTFc_7000_17000	1	57	0.000000
46	8	1	vggtest_JgKD-nqKTlQ_297000_307000	1	693	0.000000
54	8	1	vggtest_K3Q8Gi6oPIg_30000_40000	1	699	0.000000
62	8	1	vggtest_1RwhRTe-OKk_30000_40000	1	287	0.000000
70	8	1	vggtest_Iw4CEwT1wI8_11000_21000	1	682	0.000000
78	8	1	vggtest_-jA7nRwQp_E_30000_40000	1	71	0.000000
86	8	1	vggtest_eO_Z0BiT43M_292000_302000	1	987	0.000000
94	8	1	vggtest_AUXS8zwFV0k_30000_40000	1	556	0.000000
102	8	1	vggtest_EQHrQIaQNv8_30000_40000	1	626	0.000000
110	8	1	vggtest_-aUJLRXkj-Y_118000_128000	1	52	0.000000
118	8	1	vggtest_KksMNKXuiNw_12000_22000	1	712	0.000000
126	8	1	vggtest_0TuhcsOwEEs_64000_74000	1	156	0.000000
134	8	1	vggtest_bO9-u7AH8B8_30000_40000	1	950	0.000000
142	8	1	vggtest__gY3Z2pWGsA_150000_160000	1	928	0.000000
150	8	2	vggtest__gY3Z2pWGsA_150000_160000	1	928	0.000000
158	8	1	vggtest_D1NDNFZGY7k_40000_50000	1	604	0.000000
166	8	1	vggtest_AEwkS57P4eE_30000_40000	1	551	0.000000
174	8	2	vggtest_AEwkS57P4eE_30000_40000	1	551	0.000000
182	8	1	vggtest_uOOGqzu-I_U_128000_138000	1	1152	0.000000
190	8	1	vggtest_Aky0DF507fw_170000_180000	1	561	0.000000
198	8	1	vggtest_wMLgi-rb6UM_0_10000	1	1166	0.000000
206	8	1	vggtest_PaZ4aVEsPsE_19000_29000	1	767	0.000000
214	8	1	vggtest_LMrVjK1otdM_131000_141000	1	718	0.000000
222	8	1	vggtest_1bSLrOlRIB4_50000_60000	1	315	0.000000
230	8	1	vggtest_hcOkk03PnZE_110000_120000	1	1022	0.000000
238	8	1	vggtest_1hIg-Lsvc7Q_30000_40000	1	330	0.000000
246	8	1	vggtest_8A1G_Sg6bx4_170000_180000	1	520	0.000000
254	8	1	vggtest_fjWN2sQcR2s_30000_40000	1	1005	0.000000
262	8	1	vggtest_0uMEyyhzaqU_34000_44000	1	225	0.000000
270	8	1	vggtest_JXl3VdTNRtA_20000_30000	1	692	0.000000
278	8	1	vggtest_0N9EN0BEjP0_430000_440000	1	140	0.000000
286	8	1	vggtest_0ju5RWqEwGQ_108000_118000	1	202	0.000000
294	8	1	vggtest_0IzhjqyDzt8_0_10000	1	128	0.000000
302	8	2	vggtest_0IzhjqyDzt8_0_10000	1	128	0.000000
310	8	1	vggtest_-7tYmeOmsRg_58000_68000	1	20	0.000000
318	8	1	vggtest_Wqv0fvaXGM4_52000_62000	1	877	0.000000
326	8	1	vggtest_YxCVP-9lvZ4_215000_225000	1	913	0.000000
334	8	1	vggtest_VUosI4YQook_30000_40000	1	850	0.000000
342	8	1	vggtest_Ysrlv2UlG8A_30000_40000	1	910	0.000000
350	8	2	vggtest_Ysrlv2UlG8A_30000_40000	1	910	0.000000
358	8	1	vggtest_E6TSYy7ikcs_129000_139000	1	622	0.000000
366	8	1	vggtest_1CIh0UNxXrI_50000_60000	1	243	0.000000
374	8	1	vggtest_zBabZOv4dGw_380000_390000	1	1193	0.000000
382	8	2	vggtest_zBabZOv4dGw_380000_390000	1	1193	0.000000
390	8	1	vggtest_UWizNEHrzCY_17000_27000	1	841	0.000000
398	8	1	vggtest_I0jA3pAj5VI_27000_37000	1	666	0.000000
406	8	1	vggtest_GrzDev6lW0Q_41000_51000	1	652	0.000000
414	8	1	vggtest_3tbFP_JKzXw_30000_40000	1	456	0.000000
422	8	1	vggtest_Mp_87MQx6Ms_40000_50000	1	738	0.000000
430	8	1	vggtest_ao-TFiShaWU_120000_130000	1	944	0.000000
438	8	1	vggtest_1cqcTbDxsHM_130000_140000	1	317	0.000000
446	8	1	vggtest_0onKcFY1Tu0_2000_12000	1	215	0.000000
454	8	1	vggtest_J12HPLJd84Q_120000_130000	1	683	0.000000
462	8	1	vggtest_1JfwuwHV0hc_212000_222000	1	265	0.000000
470	10	-2	n/a	n/a	n/a	0.000000
