onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	10	1	vggtest_fFX04tOPv8s_0_10000	1	995	0.000000
40	10	1	vggtest_dxDbrvoKTD8_331000_341000	1	976	0.000000
50	10	1	vggtest_XyT6JsD0o88_20000_30000	1	887	0.000000
60	10	1	vggtest_00gxEsWO4mo_259000_269000	1	23	0.000000
70	10	1	vggtest_lO1rUT_MTjk_210000_220000	1	1058	0.000000
80	10	1	vggtest_BNxowL6utbQ_30000_40000	1	543	0.000000
90	10	1	vggtest_1lMCacmGZ8I_52000_62000	1	291	0.000000
100	10	1	vggtest_6tlsgZfA9zs_20000_30000	1	464	0.000000
110	10	1	vggtest_2ACsPTob5cY_349000_359000	1	342	0.000000
120	10	1	vggtest_0ju5RWqEwGQ_33000_43000	1	136	0.000000
130	10	1	vggtest_97IV2XK2l3U_0_10000	1	502	0.000000
140	10	1	vggtest_YxCVP-9lvZ4_215000_225000	1	903	0.000000
150	10	1	vggtest_8ooVSXeHb94_30000_40000	1	496	0.000000
160	10	2	vggtest_8ooVSXeHb94_30000_40000	1	496	0.000000
170	10	1	vggtest_U4UtZeTl2DE_30000_40000	1	818	0.000000
180	10	1	vggtest_JIMJ7ewIoPA_30000_40000	1	663	0.000000
190	10	1	vggtest_bzOeufhFITk_30000_40000	1	954	0.000000
200	10	1	vggtest__E3-DzuWPs4_132000_142000	1	915	0.000000
210	10	1	vggtest_f52NbtQr2KQ_10000_20000	1	992	0.000000
220	10	1	vggtest_2bYyywE97aA_30000_40000	1	385	0.000000
230	10	1	vggtest_0kqQNBR09Rc_90000_100000	1	139	0.000000
240	10	1	vggtest_fjJPvFZswhg_30000_40000	1	998	0.000000
250	10	1	vggtest_DIooS7FSHYk_30000_40000	1	579	0.000000
260	10	1	vggtest_JMVAOTC7hIU_89000_99000	1	665	0.000000
270	10	2	vggtest_JMVAOTC7hIU_89000_99000	1	665	0.000000
280	10	1	vggtest_9ZWmZdgrE78_80000_90000	1	507	0.000000
290	10	1	vggtest_1D6UsaTflJ8_60000_70000	1	183	0.000000
300	10	1	vggtest_-Sd-j0rKeKw_30000_40000	1	7	0.000000
310	10	1	vggtest_V8sGSG45U14_30000_40000	1	831	0.000000
320	10	1	vggtest_X50vQ1-1Z3g_60000_70000	1	867	0.000000
330	10	1	vggtest_2MKPKDQcgVc_36000_46000	1	372	0.000000
340	10	2	vggtest_2MKPKDQcgVc_36000_46000	1	372	0.000000
350	10	1	vggtest_D6shA0yJ8W4_72000_82000	1	577	0.000000
360	10	2	vggtest_D6shA0yJ8W4_72000_82000	1	577	0.000000
370	10	1	vggtest_H692PyayBt4_0_10000	1	624	0.000000
380	10	1	vggtest_Yx5pH0S0Clc_62000_72000	1	902	0.000000
390	10	1	vggtest_0bBJkY4_zs8_33000_43000	1	107	0.000000
400	10	2	vggtest_0bBJkY4_zs8_33000_43000	1	107	0.000000
410	10	1	vggtest_5MMIZJ0zCZk_30000_40000	1	444	0.000000
420	10	1	vggtest_0Rqa18lmDtw_153000_163000	1	77	0.000000
430	10	1	vggtest_D1NDNFZGY7k_40000_50000	1	573	0.000000
440	10	1	vggtest_bMYhXjEJl_8_70000_80000	1	943	0.000000
450	10	1	vggtest_0g_-KI5NZ-E_30000_40000	1	124	0.000000
460	10	1	vggtest_1WLMVX_Y2Pk_213000_223000	1	242	0.000000
470	10	1	vggtest_1G6wtnmdZhE_30000_40000	1	197	0.000000
480	10	1	vggtest_1Vt6qYw1BnQ_2000_12000	1	238	0.000000
490	10	1	vggtest_a3UQ9Je4xQM_20000_30000	1	926	0.000000
500	10	1	vggtest_5A0sMC5olxI_380000_390000	1	440	0.000000
510	10	1	vggtest_o0Bn4m6dQbI_100000_110000	1	1092	0.000000
520	10	1	vggtest_pWLDewht-Kw_156000_166000	1	1103	0.000000
530	10	1	vggtest_0G50t4FlbIA_60000_70000	1	48	0.000000
540	10	1	vggtest_w2vMywh5Nto_10000_20000	1	1160	0.000000
550	10	1	vggtest_R9qOM83klNc_81000_91000	1	776	0.000000
560	10	1	vggtest_y9_9tveI1OY_100000_110000	1	1187	0.000000
570	10	1	vggtest_XCkoQ-sCQ4Y_170000_180000	1	872	0.000000
580	10	-2	n/a	n/a	n/a	0.000000
