onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	8	1	vggtest_1F9zCsJyw6k_230000_240000	1	256	0.000000
38	8	1	vggtest_FFSWmryaZ60_30000_40000	1	637	0.000000
46	8	1	vggtest_4h550TCCd9w_153000_163000	1	469	0.000000
54	8	1	vggtest_r1XXnstW6Vk_66000_76000	1	1121	0.000000
62	8	1	vggtest_QRLfJ0FuEbc_267000_277000	1	784	0.000000
70	8	1	vggtest_AkAdDFHQars_30000_40000	1	560	0.000000
78	8	1	vggtest_1oJAVJPX0YY_20000_30000	1	352	0.000000
86	8	1	vggtest_2D0okq6-SBo_189000_199000	1	394	0.000000
94	8	1	vggtest_-nJbGyPg6BY_60000_70000	1	79	0.000000
102	8	1	vggtest_OPXoyT08GvQ_17000_27000	1	754	0.000000
110	8	1	vggtest_XjkUtn062ho_0_10000	1	897	0.000000
118	8	1	vggtest_-cA9HsnV1ao_30000_40000	1	56	0.000000
126	8	1	vggtest_0HbhE91JB-k_360000_370000	1	127	0.000000
134	8	1	vggtest_1hwkxJOl1PY_20000_30000	1	334	0.000000
142	8	1	vggtest_Kfr4i48HNcA_53000_63000	1	709	0.000000
150	8	1	vggtest_BfQ3-G4gjlM_30000_40000	1	581	0.000000
158	8	1	vggtest_2ACsPTob5cY_349000_359000	1	386	0.000000
166	8	1	vggtest_BB3CCG8SD54_0_10000	1	572	0.000000
174	8	1	vggtest_JCapiyzc_AA_30000_40000	1	687	0.000000
182	8	1	vggtest_42QgE4mM55I_30000_40000	1	462	0.000000
190	8	2	vggtest_42QgE4mM55I_30000_40000	1	462	0.000000
198	8	1	vggtest_oVcQgIsw2Ac_30000_40000	1	1100	0.000000
206	8	1	vggtest_2XK3vXa-wgw_30000_40000	1	418	0.000000
214	8	1	vggtest_ULLEA-jLmpI_30000_40000	1	839	0.000000
222	8	1	vggtest_Yx5pH0S0Clc_62000_72000	1	912	0.000000
230	8	1	vggtest_2DyD824KPFM_10000_20000	1	395	0.000000
238	8	1	vggtest_F5iBhMGDdwE_70000_80000	1	634	0.000000
246	8	1	vggtest_hp-1ncwHRto_26000_36000	1	1023	0.000000
254	8	2	vggtest_hp-1ncwHRto_26000_36000	1	1023	0.000000
262	8	1	vggtest_DQ1-Jj3kEP0_61000_71000	1	611	0.000000
270	8	1	vggtest_1KiFXylkPpg_10000_20000	1	268	0.000000
278	8	1	vggtest_-r3nM90RCNs_161000_171000	1	87	0.000000
286	8	1	vggtest_0ssOpzqkojU_30000_40000	1	222	0.000000
294	8	1	vggtest_f-3r6Pou7UM_15000_25000	1	996	0.000000
302	8	1	vggtest_07FxCXxknY4_30000_40000	1	109	0.000000
310	8	1	vggtest_-4viN_EoxOA_0_10000	1	15	0.000000
318	8	1	vggtest_a_kgbg3eDAE_66000_76000	1	941	0.000000
326	8	1	vggtest_ShSRKoE7hHc_128000_138000	1	813	0.000000
334	8	1	vggtest_0Rqa18lmDtw_153000_163000	1	151	0.000000
342	8	1	vggtest_bgGgPPudjlQ_209000_219000	1	955	0.000000
350	8	1	vggtest_chtrHNfaT9U_70000_80000	1	969	0.000000
358	8	2	vggtest_chtrHNfaT9U_70000_80000	1	969	0.000000
366	8	1	vggtest_j1JUsTMZcuY_4000_14000	1	1035	0.000000
374	8	1	vggtest_9ZWmZdgrE78_80000_90000	1	541	0.000000
382	8	1	vggtest_-na-0NBG5Ow_1000_11000	1	81	0.000000
390	8	2	vggtest_-na-0NBG5Ow_1000_11000	1	81	0.000000
398	8	1	vggtest_3O7CzEL0pXA_421000_431000	1	451	0.000000
406	8	2	vggtest_3O7CzEL0pXA_421000_431000	1	451	0.000000
414	8	1	vggtest_TmwM6LCcIBg_130000_140000	1	830	0.000000
422	8	1	vggtest_mDovspDoLAE_30000_40000	1	1071	0.000000
430	8	1	vggtest_C00BpiE52mM_270000_280000	1	585	0.000000
438	8	1	vggtest_2QuZzkvq_YQ_0_10000	1	415	0.000000
446	8	1	vggtest_jZ9mYtCAGf8_150000_160000	1	1040	0.000000
454	8	1	vggtest_1XO0SqsZhHU_30000_40000	1	299	0.000000
462	8	1	vggtest_SfoN3MJ1RCI_30000_40000	1	812	0.000000
470	10	-2	n/a	n/a	n/a	0.000000
