onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	8	1	vggtest_2laUv3y7OfA_30000_40000	1	10	0.000000
38	8	1	vggtest_qqhkKtXCiEs_112000_122000	1	43	0.000000
46	8	1	vggtest_-kWlE2dkoxc_170000_180000	1	7	0.000000
54	8	2	vggtest_-kWlE2dkoxc_170000_180000	1	7	0.000000
62	8	1	vggtest_ptw48aDb4Ms_124000_134000	1	37	0.000000
70	8	1	vggtest_BjR_ixR8TUw_30000_40000	1	28	0.000000
78	8	1	vggtest_-fAGzY9rnaA_30000_40000	1	6	0.000000
86	8	1	vggtest_zra3SOgAsyg_31000_41000	1	49	0.000000
94	8	1	vggtest_-JUhUI_KvUI_26000_36000	1	3	0.000000
102	8	1	vggtest_-0pJqpNjft4_267000_277000	1	1	0.000000
110	8	1	vggtest_BbWdsbZ9TsM_130000_140000	1	27	0.000000
118	8	1	vggtest_CX-gGuT3iEs_230000_240000	1	30	0.000000
126	8	2	vggtest_CX-gGuT3iEs_230000_240000	1	30	0.000000
134	8	1	vggtest_ApgCxwAImCE_30000_40000	1	25	0.000000
142	8	1	vggtest_qaZYMjKrUCo_460000_470000	1	41	0.000000
150	8	1	vggtest_nfitcQXx-Y0_20000_30000	1	35	0.000000
158	8	1	vggtest_uKqFWsVI250_71000_81000	1	45	0.000000
166	8	1	vggtest_Bw_fNvTp6jg_30000_40000	1	29	0.000000
174	8	1	vggtest_-T8L4SVm3u0_1000_11000	1	5	0.000000
182	8	1	vggtest_q6Fcpz4du20_311000_321000	1	38	0.000000
190	8	1	vggtest_7761uBKNpd8_30000_40000	1	22	0.000000
198	8	1	vggtest_680o8EChP_o_105000_115000	1	21	0.000000
206	8	1	vggtest_-Lmibx_Iu_E_173000_183000	1	4	0.000000
214	8	1	vggtest_zZgNyJ4eQwk_22000_32000	1	48	0.000000
222	8	1	vggtest_-zwjoyBo2s8_285000_295000	1	9	0.000000
230	8	1	vggtest_AYf9HocxFdk_54000_64000	1	24	0.000000
238	8	1	vggtest_qEBAFHQkGnc_164000_174000	1	39	0.000000
246	8	1	vggtest_zzqrZOq928w_55000_65000	1	50	0.000000
254	8	1	vggtest_Db3VBTvUp_k_30000_40000	1	31	0.000000
262	8	1	vggtest_qMKO8bQpzMg_90000_100000	1	40	0.000000
270	8	1	vggtest_-3-4qmWSJXU_30000_40000	1	2	0.000000
278	8	1	vggtest_viYxkl1BW9U_100000_110000	1	46	0.000000
286	8	1	vggtest_jaI41fTAM54_30000_40000	1	32	0.000000
294	8	1	vggtest_pjtJGwhmi9I_66000_76000	1	36	0.000000
302	8	1	vggtest_xC01ty1ngVQ_2000_12000	1	47	0.000000
310	8	1	vggtest_5bU5bCN2y54_46000_56000	1	18	0.000000
318	8	1	vggtest_AzhAMscTxyc_30000_40000	1	26	0.000000
326	8	1	vggtest_lAznHBBQkp4_30000_40000	1	33	0.000000
334	8	2	vggtest_lAznHBBQkp4_30000_40000	1	33	0.000000
342	8	1	vggtest_qtnE1hnCD0M_30000_40000	1	44	0.000000
350	8	1	vggtest_2rK6HBRC8HQ_40000_50000	1	11	0.000000
358	8	1	vggtest_3kaCL9Zu7NY_230000_240000	1	16	0.000000
366	8	1	vggtest_4gFbCdHle0w_30000_40000	1	17	0.000000
374	8	1	vggtest_mXhgTalUktk_540000_550000	1	34	0.000000
382	8	1	vggtest_3FNTvu5iROw_76000_86000	1	14	0.000000
390	8	1	vggtest_3R0dqfaiV3M_0_10000	1	15	0.000000
398	8	1	vggtest_qjHoWdDb4lM_27000_37000	1	42	0.000000
406	8	2	vggtest_qjHoWdDb4lM_27000_37000	1	42	0.000000
414	8	1	vggtest_61krHyjf-ac_176000_186000	1	20	0.000000
422	8	1	vggtest_3AzacBprTzU_60000_70000	1	13	0.000000
430	8	1	vggtest_-lPXTBXa0tE_30000_40000	1	8	0.000000
438	8	2	vggtest_-lPXTBXa0tE_30000_40000	1	8	0.000000
446	8	1	vggtest_34f6a05F1rk_76000_86000	1	12	0.000000
454	8	1	vggtest_AScmP_vDPhs_1000_11000	1	23	0.000000
462	8	1	vggtest_5uanE7YxW0E_0_10000	1	19	0.000000
470	10	-2	n/a	n/a	n/a	0.000000
