onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	8	1	vggtest_hIo3lkALDlg_50000_60000	1	1020	0.000000
38	8	1	vggtest_BPeLfS4NPEI_60000_70000	1	576	0.000000
46	8	1	vggtest_QNekELxXfHw_20000_30000	1	781	0.000000
54	8	1	vggtest_gd2-qjVH_DI_32000_42000	1	1015	0.000000
62	8	1	vggtest_2_RltCGlGOA_10000_20000	1	420	0.000000
70	8	1	vggtest_KhjtXdPpEHM_99000_109000	1	711	0.000000
78	8	1	vggtest_mGKX6kwKvSE_340000_350000	1	1072	0.000000
86	8	1	vggtest_NgyeHliItww_0_10000	1	747	0.000000
94	8	1	vggtest_JxE-EZJY2Q0_40000_50000	1	697	0.000000
102	8	1	vggtest_F9bJVVYgFl4_73000_83000	1	636	0.000000
110	8	1	vggtest_1QBsc_IXg8U_750000_760000	1	283	0.000000
118	8	1	vggtest_mr8uEQKL1GY_161000_171000	1	1079	0.000000
126	8	1	vggtest_0_B2YnBAz3A_220000_230000	1	172	0.000000
134	8	2	vggtest_0_B2YnBAz3A_220000_230000	1	172	0.000000
142	8	1	vggtest_2BNSDDwGxM8_30000_40000	1	388	0.000000
150	8	1	vggtest_JoKMKFX12x8_3000_13000	1	695	0.000000
158	8	1	vggtest_zgmAvQF1ojQ_49000_59000	1	1197	0.000000
166	8	2	vggtest_zgmAvQF1ojQ_49000_59000	1	1197	0.000000
174	8	1	vggtest_kZQkCqkUBVA_168000_178000	1	1048	0.000000
182	8	2	vggtest_kZQkCqkUBVA_168000_178000	1	1048	0.000000
190	8	1	vggtest_7I2yJgXKncw_21000_31000	1	508	0.000000
198	8	1	vggtest_QPR_tghZjAI_30000_40000	1	782	0.000000
206	8	1	vggtest_KLd-rJMoeko_20000_30000	1	704	0.000000
214	8	1	vggtest_WKlfyztuZ7I_62000_72000	1	866	0.000000
222	8	1	vggtest_Hn0UhOnyeJ0_225000_235000	1	662	0.000000
230	8	1	vggtest_0_O6nVfnCH8_210000_220000	1	174	0.000000
238	8	1	vggtest_1DDBWHBebR4_50000_60000	1	247	0.000000
246	8	1	vggtest_-fAVezaAX18_126000_136000	1	60	0.000000
254	8	1	vggtest_0F04c_rY4aw_0_10000	1	121	0.000000
262	8	1	vggtest_mcrf1Mb99d4_68000_78000	1	1076	0.000000
270	8	1	vggtest_-0yRK50zyTI_30000_40000	1	5	0.000000
278	8	1	vggtest_6yaFDZk7-jo_8000_18000	1	501	0.000000
286	8	1	vggtest_kdanFLQ7A_s_0_10000	1	1050	0.000000
294	8	1	vggtest_jii46gf1UkM_140000_150000	1	1041	0.000000
302	8	1	vggtest_00QQLLcny14_83000_93000	1	101	0.000000
310	8	1	vggtest_0HXYdGGKV2k_30000_40000	1	126	0.000000
318	8	1	vggtest_-hA3ZkfDz30_500000_510000	1	65	0.000000
326	8	1	vggtest_QIRX5273XKk_30000_40000	1	777	0.000000
334	8	1	vggtest_O8S1mItzKFk_115000_125000	1	753	0.000000
342	8	2	vggtest_O8S1mItzKFk_115000_125000	1	753	0.000000
350	8	1	vggtest_MW0ZTvRCS1o_220000_230000	1	734	0.000000
358	8	1	vggtest_vuYE5G1C9MQ_25000_35000	1	1159	0.000000
366	8	1	vggtest_KU0aL_iR0_I_560000_570000	1	706	0.000000
374	8	1	vggtest_YY1Qf9Q_Zx8_37000_47000	1	907	0.000000
382	8	1	vggtest_-nDPmlHReow_60000_70000	1	78	0.000000
390	8	2	vggtest_-nDPmlHReow_60000_70000	1	78	0.000000
398	8	1	vggtest_0MU2SG5ME1E_16000_26000	1	137	0.000000
406	8	1	vggtest_bzOeufhFITk_30000_40000	1	960	0.000000
414	8	1	vggtest_97IV2XK2l3U_0_10000	1	536	0.000000
422	8	1	vggtest_1G6wtnmdZhE_30000_40000	1	258	0.000000
430	8	1	vggtest_oiNhFODWPVk_185000_195000	1	1102	0.000000
438	8	1	vggtest_FgzVC4jxtxg_100000_110000	1	638	0.000000
446	8	1	vggtest_7rzEesL55fM_340000_350000	1	514	0.000000
454	8	1	vggtest_qA1XfVDXoMc_295000_305000	1	1109	0.000000
462	8	1	vggtest_1hknEtsmdOc_30000_40000	1	333	0.000000
470	10	-2	n/a	n/a	n/a	0.000000
