onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	10	1	EnF2_EnM2	1	16	0.000000
40	10	1	Env1_Mus1	1	31	0.000000
50	10	1	Mus2_Env2	1	51	0.000000
60	10	1	Mus2_For2	1	52	0.000000
70	4	2	task	1	9999	0.000000
74	10	1	EnF1_Ani1	1	11	0.000000
84	10	1	Env2_EnF2	1	33	0.000000
94	10	1	Ani1_Mus1	1	5	0.000000
104	10	1	For2_Ani2	1	40	0.000000
114	10	1	EnM1_EnF1	1	20	0.000000
124	10	1	Mus2_EnF2	1	49	0.000000
134	10	1	EnF1_Env1	1	13	0.000000
144	4	2	task	1	9999	0.000000
148	10	1	Ani2_For2	1	9	0.000000
158	10	1	EnF2_Ani2	1	15	0.000000
168	10	1	Ani1_Env1	1	3	0.000000
178	10	1	EnF1_Mus1	1	14	0.000000
188	10	1	Ani1_EnM1	1	2	0.000000
198	10	1	EnM1_Mus1	1	22	0.000000
208	10	1	EnM2_Mus2	1	26	0.000000
218	10	1	Ani2_EnM2	1	7	0.000000
228	4	2	task	1	9999	0.000000
232	10	1	EnM1_Ani1	1	19	0.000000
242	10	1	For2_Env2	1	41	0.000000
252	10	1	Env1_Ani1	1	27	0.000000
262	10	1	Env1_For1	1	30	0.000000
272	10	1	For2_Mus2	1	42	0.000000
282	10	1	EnM1_Env1	1	21	0.000000
292	10	1	EnM2_EnF2	1	24	0.000000
302	10	1	Mus1_For1	1	47	0.000000
312	10	1	EnM2_Ani2	1	23	0.000000
322	10	1	For1_Env1	1	38	0.000000
332	10	1	Mus1_EnF1	1	44	0.000000
342	10	1	EnF2_Env2	1	17	0.000000
352	10	1	Env1_EnM1	1	29	0.000000
362	10	1	For1_Ani1	1	37	0.000000
372	10	1	Env1_EnF1	1	28	0.000000
382	4	2	task	1	9999	0.000000
386	10	1	Ani1_EnF1	1	1	0.000000
396	10	1	EnM2_Env2	1	25	0.000000
406	10	1	Env2_EnM2	1	34	0.000000
416	10	1	Mus1_Env1	1	46	0.000000
426	4	2	task	1	9999	0.000000
430	10	1	Ani2_EnF2	1	6	0.000000
440	10	1	Ani2_Env2	1	8	0.000000
450	10	1	Mus1_EnM1	1	45	0.000000
460	10	1	EnF1_EnM1	1	12	0.000000
470	10	1	Mus2_Ani2	1	48	0.000000
480	10	1	Mus2_EnM2	1	50	0.000000
490	10	1	Env2_For2	1	35	0.000000
500	10	1	Env2_Ani2	1	32	0.000000
510	10	1	Ani2_Mus2	1	10	0.000000
520	10	1	Env2_Mus2	1	36	0.000000
530	10	1	For1_Mus1	1	39	0.000000
540	10	1	EnF2_Mus2	1	18	0.000000
550	10	1	Mus1_Ani1	1	43	0.000000
560	10	1	Ani1_For1	1	4	0.000000
570	6	-2	n/a	n/a	n/a	0.000000
