onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	8	1	EnF2_EnM1	1	21	0.000000
38	8	1	EnM2_Ani1	1	31	0.000000
46	8	1	EnF1_Mus2	1	18	0.000000
54	8	1	EnM1_Ani2	1	26	0.000000
62	8	1	Mus2_EnF2	1	46	0.000000
70	8	1	EnF2_Mus2	1	24	0.000000
78	8	1	Mus2_EnM1	1	47	0.000000
86	4	2	task	1	9999	0.000000
90	8	1	Ani2_EnM1	1	9	0.000000
98	8	1	Mus1_EnM1	1	41	0.000000
106	8	1	EnM2_Ani2	1	32	0.000000
114	8	1	EnF2_Ani1	1	19	0.000000
122	8	1	EnF1_Ani1	1	13	0.000000
130	8	1	EnF1_Mus1	1	17	0.000000
138	8	1	Ani2_EnM2	1	10	0.000000
146	8	1	Ani2_EnF1	1	7	0.000000
154	4	2	task	1	9999	0.000000
158	8	1	EnM1_Mus1	1	29	0.000000
166	8	1	Ani2_EnF2	1	8	0.000000
174	4	2	task	1	9999	0.000000
178	8	1	Mus1_EnF1	1	39	0.000000
186	8	1	Ani1_EnM1	1	3	0.000000
194	8	1	EnM2_EnF1	1	33	0.000000
202	8	1	Mus2_Ani2	1	44	0.000000
210	8	1	EnF2_Ani2	1	20	0.000000
218	8	1	EnM1_EnF1	1	27	0.000000
226	4	2	task	1	9999	0.000000
230	8	1	Mus1_Ani2	1	38	0.000000
238	8	1	Ani1_EnM2	1	4	0.000000
246	8	1	Mus1_EnM2	1	42	0.000000
254	8	1	EnM1_EnF2	1	28	0.000000
262	8	1	EnM1_Mus2	1	30	0.000000
270	8	1	EnF2_Mus1	1	23	0.000000
278	8	1	Mus2_EnF1	1	45	0.000000
286	8	1	Mus1_EnF2	1	40	0.000000
294	8	1	Ani2_Mus2	1	12	0.000000
302	8	1	EnF1_EnM1	1	15	0.000000
310	8	1	Mus1_Ani1	1	37	0.000000
318	8	1	EnM2_Mus2	1	36	0.000000
326	8	1	Ani1_EnF2	1	2	0.000000
334	8	1	Ani2_Mus1	1	11	0.000000
342	4	2	task	1	9999	0.000000
346	8	1	EnF2_EnM2	1	22	0.000000
354	8	1	EnF1_Ani2	1	14	0.000000
362	8	1	Ani1_EnF1	1	1	0.000000
370	8	1	EnM1_Ani1	1	25	0.000000
378	8	1	Ani1_Mus2	1	6	0.000000
386	8	1	Ani1_Mus1	1	5	0.000000
394	8	1	Mus2_EnM2	1	48	0.000000
402	8	1	EnM2_Mus1	1	35	0.000000
410	8	1	EnM2_EnF2	1	34	0.000000
418	8	1	EnF1_EnM2	1	16	0.000000
426	8	1	Mus2_Ani1	1	43	0.000000
434	10	-2	n/a	n/a	n/a	0.000000
