onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	8	1	vggtest_ycOM6mmzeok_494000_504000	1	1190	0.000000
38	8	1	vggtest__loJG92_VBE_50000_60000	1	930	0.000000
46	8	2	vggtest__loJG92_VBE_50000_60000	1	930	0.000000
54	8	1	vggtest_cIHmmSm947Q_0_10000	1	964	0.000000
62	8	1	vggtest_1tjJmArxVBM_30000_40000	1	360	0.000000
70	8	1	vggtest_IPIS6TUVpSM_30000_40000	1	672	0.000000
78	8	1	vggtest_Co7vOJiMeO0_64000_74000	1	602	0.000000
86	8	1	vggtest_QIuP8om7fYE_69000_79000	1	778	0.000000
94	8	1	vggtest_bR8fbwavKtc_60000_70000	1	952	0.000000
102	8	1	vggtest_0B7fwvTtvLM_0_10000	1	110	0.000000
110	8	1	vggtest_6UY-HKyolKk_30000_40000	1	489	0.000000
118	8	1	vggtest_2GuH1UJxQOk_19000_29000	1	404	0.000000
126	8	1	vggtest_0YI_WYJVv2M_30000_40000	1	167	0.000000
134	8	1	vggtest_3iXaH6Dmacs_155000_165000	1	454	0.000000
142	8	1	vggtest_QlqLLZQLNiA_0_10000	1	788	0.000000
150	8	1	vggtest_2iAO9PKZDGk_0_10000	1	437	0.000000
158	8	1	vggtest_2fi0m8ei_B4_30000_40000	1	430	0.000000
166	8	1	vggtest_xXGIKM4daMU_30000_40000	1	1178	0.000000
174	8	1	vggtest_0R85JknaH-w_90000_100000	1	149	0.000000
182	8	2	vggtest_0R85JknaH-w_90000_100000	1	149	0.000000
190	8	1	vggtest_0Wxl_LzqguI_288000_298000	1	162	0.000000
198	8	1	vggtest_1EuGaYmvlXM_170000_180000	1	253	0.000000
206	8	1	vggtest_9wkgTdE7nz8_30000_40000	1	547	0.000000
214	8	1	vggtest_J1WfhSyPeus_24000_34000	1	684	0.000000
222	8	2	vggtest_J1WfhSyPeus_24000_34000	1	684	0.000000
230	8	1	vggtest_BMAruFZo5NM_88000_98000	1	574	0.000000
238	8	1	vggtest_28Ih0rDx-Y4_310000_320000	1	384	0.000000
246	8	1	vggtest_lqnw0Q13tDc_30000_40000	1	1068	0.000000
254	8	1	vggtest_C46X66FU_Dw_30000_40000	1	590	0.000000
262	8	1	vggtest_0OLYyjqNdn4_352000_362000	1	144	0.000000
270	8	1	vggtest_2eWobSpugTw_17000_27000	1	427	0.000000
278	8	1	vggtest_n_k5FKt3X64_30000_40000	1	1086	0.000000
286	8	1	vggtest_1cwReJkXLVo_505000_515000	1	319	0.000000
294	8	1	vggtest_pcGbob7fSgE_40000_50000	1	1107	0.000000
302	8	1	vggtest_1bbyaXEVouE_30000_40000	1	316	0.000000
310	8	1	vggtest_1jq7zSF_v7s_140000_150000	1	337	0.000000
318	8	1	vggtest_D1VQAb8CfWM_8000_18000	1	606	0.000000
326	8	1	vggtest_K9bWqZczmeA_780000_790000	1	702	0.000000
334	8	1	vggtest_2CidaVnd60g_0_10000	1	393	0.000000
342	8	1	vggtest_hrqspJV1DT8_99000_109000	1	1025	0.000000
350	8	1	vggtest_a4McboobFR8_475000_485000	1	933	0.000000
358	8	1	vggtest_PWwD7zzMOWE_540000_550000	1	764	0.000000
366	8	1	vggtest_CsBwBct0_5U_30000_40000	1	603	0.000000
374	8	1	vggtest_XkyKliH1X3c_25000_35000	1	899	0.000000
382	8	1	vggtest_UfJg3VBTLow_420000_430000	1	846	0.000000
390	8	2	vggtest_UfJg3VBTLow_420000_430000	1	846	0.000000
398	8	1	vggtest_1uLkSMHxvZY_440000_450000	1	366	0.000000
406	8	1	vggtest_0eDN0YmnJRY_2000_12000	1	184	0.000000
414	8	1	vggtest_0KIC9xmmD8g_105000_115000	1	133	0.000000
422	8	1	vggtest_C5BteXnPQNk_30000_40000	1	591	0.000000
430	8	2	vggtest_C5BteXnPQNk_30000_40000	1	591	0.000000
438	8	1	vggtest_MhKSI8ggZ7Y_30000_40000	1	736	0.000000
446	8	1	vggtest_LOHw8cZZ9-U_450000_460000	1	720	0.000000
454	8	1	vggtest_1ON1iLkUPp8_40000_50000	1	279	0.000000
462	8	1	vggtest_CUMunjwsO2U_20000_30000	1	599	0.000000
470	10	-2	n/a	n/a	n/a	0.000000
