onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	8	1	vggtest_YfV9YjCSkYM_30000_40000	1	909	0.000000
38	8	1	vggtest_-0vPFx-wRRI_30000_40000	1	4	0.000000
46	8	1	vggtest_A458iJLZGvg_80000_90000	1	550	0.000000
54	8	1	vggtest_8M8mpBuhbOY_79000_89000	1	523	0.000000
62	8	1	vggtest_SL52ykhLo8A_70000_80000	1	806	0.000000
70	8	1	vggtest_s8PkY2iW4e8_30000_40000	1	1133	0.000000
78	8	1	vggtest_dVYjJc2KdnY_90000_100000	1	974	0.000000
86	8	1	vggtest_Ax1rIOmzMWY_0_10000	1	566	0.000000
94	8	2	vggtest_Ax1rIOmzMWY_0_10000	1	566	0.000000
102	8	1	vggtest_0slFEpnTKkY_115000_125000	1	221	0.000000
110	8	1	vggtest_cuINEhfQW98_289000_299000	1	972	0.000000
118	8	1	vggtest_1YFa9CpH7Kc_180000_190000	1	302	0.000000
126	8	1	vggtest_Xp-u8qRkJZA_14000_24000	1	901	0.000000
134	8	1	vggtest_hsBRizlT4Gw_160000_170000	1	1026	0.000000
142	8	1	vggtest_c-qYpm6h0Ew_220000_230000	1	961	0.000000
150	8	1	vggtest_1FWUnWVX5Xk_159000_169000	1	257	0.000000
158	8	2	vggtest_1FWUnWVX5Xk_159000_169000	1	257	0.000000
166	8	1	vggtest_0kqQNBR09Rc_90000_100000	1	204	0.000000
174	8	1	vggtest_0XFFOBzJ3aw_120000_130000	1	163	0.000000
182	8	1	vggtest_93vN8AS4jHY_67000_77000	1	535	0.000000
190	8	1	vggtest_4Q1DDOpej1o_0_10000	1	466	0.000000
198	8	1	vggtest_1RhYdQnZ_hw_30000_40000	1	286	0.000000
206	8	1	vggtest_dxDbrvoKTD8_331000_341000	1	982	0.000000
214	8	1	vggtest_2P1uwGQfaPA_4000_14000	1	413	0.000000
222	8	1	vggtest_nzpnWuk3RjU_170000_180000	1	1093	0.000000
230	8	1	vggtest_1roSKWxidVo_35000_45000	1	358	0.000000
238	8	2	vggtest_1roSKWxidVo_35000_45000	1	358	0.000000
246	8	1	vggtest_2VuKP6zZDDc_510000_520000	1	416	0.000000
254	8	1	vggtest_1aDnyPubxdY_118000_128000	1	312	0.000000
262	8	1	vggtest_TP_CVBCc4-U_90000_100000	1	823	0.000000
270	8	2	vggtest_TP_CVBCc4-U_90000_100000	1	823	0.000000
278	8	1	vggtest_1gWu-9hPzFs_22000_32000	1	328	0.000000
286	8	2	vggtest_1gWu-9hPzFs_22000_32000	1	328	0.000000
294	8	1	vggtest_pfB7MFteFFY_95000_105000	1	1108	0.000000
302	8	1	vggtest_QAgy9r331v0_30000_40000	1	774	0.000000
310	8	1	vggtest_ZZO50JTetDE_580000_590000	1	919	0.000000
318	8	1	vggtest_X6MBdPls4RI_0_10000	1	884	0.000000
326	8	1	vggtest_1CZ-bybGzu4_30000_40000	1	244	0.000000
334	8	1	vggtest_p0c-sBtVkio_187000_197000	1	1104	0.000000
342	8	1	vggtest_rM0mOUPtSpU_60000_70000	1	1125	0.000000
350	8	1	vggtest_WY73T0xaY0A_180000_190000	1	870	0.000000
358	8	1	vggtest__cES7Twcq18_6000_16000	1	927	0.000000
366	8	1	vggtest_scoFHRlgDjs_9000_19000	1	1136	0.000000
374	8	1	vggtest_KXn7InqM3yo_30000_40000	1	707	0.000000
382	8	1	vggtest_TpPHH7wQz_M_30000_40000	1	832	0.000000
390	8	1	vggtest_cmB8l4mQ1XQ_30000_40000	1	971	0.000000
398	8	1	vggtest_0c78GAZ0jLY_5000_15000	1	178	0.000000
406	8	1	vggtest_HO7EiiblQe4_30000_40000	1	657	0.000000
414	8	1	vggtest_SB1dEgUQh3w_168000_178000	1	804	0.000000
422	8	1	vggtest_-Ii-kc3ufho_106000_116000	1	31	0.000000
430	8	1	vggtest_1hWAOReJehw_140000_150000	1	331	0.000000
438	8	1	vggtest_iAK8xAOUob8_297000_307000	1	1029	0.000000
446	8	1	vggtest_2BMOGrFU_m8_167000_177000	1	387	0.000000
454	8	1	vggtest_0t1jQa_Lj_E_130000_140000	1	223	0.000000
462	8	1	vggtest_HJrYNAIm1AY_110000_120000	1	655	0.000000
470	10	-2	n/a	n/a	n/a	0.000000
