onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	8	1	vggtest_6jdeSAmkzEU_30000_40000	1	496	0.000000
38	8	1	vggtest_y9_9tveI1OY_100000_110000	1	1187	0.000000
46	8	2	vggtest_y9_9tveI1OY_100000_110000	1	1187	0.000000
54	8	1	vggtest_4MRzQbAIyV4_90000_100000	1	464	0.000000
62	8	1	vggtest_BBRDRggGsdk_147000_157000	1	573	0.000000
70	8	1	vggtest_7CTzN_wSb6g_30000_40000	1	507	0.000000
78	8	1	vggtest_1lMCacmGZ8I_52000_62000	1	342	0.000000
86	8	1	vggtest_WOoi5Sr2ux0_21000_31000	1	867	0.000000
94	8	1	vggtest_2xQuWif8axE_30000_40000	1	444	0.000000
102	8	1	vggtest_1CGx8zxQFx4_70000_80000	1	242	0.000000
110	8	1	vggtest_2o4-lEtFb2k_60000_70000	1	440	0.000000
118	8	1	vggtest_Bd-1gr7807g_16000_26000	1	579	0.000000
126	8	1	vggtest_onSfjunyI1A_13000_23000	1	1103	0.000000
134	8	1	vggtest_Y6w2drYRvg8_37000_47000	1	903	0.000000
142	8	1	vggtest_-1EXhfqLLwQ_150000_160000	1	7	0.000000
150	8	1	vggtest_1wqJ9KDfcME_60000_70000	1	372	0.000000
158	8	1	vggtest_-XwtCzUaN1I_160000_170000	1	48	0.000000
166	8	1	vggtest_ENQli94rpHM_0_10000	1	624	0.000000
174	8	1	vggtest_ZFs03gCSB_g_270000_280000	1	915	0.000000
182	8	2	vggtest_ZFs03gCSB_g_270000_280000	1	915	0.000000
190	8	1	vggtest___2MwJ2uHu0_4000_14000	1	926	0.000000
198	8	1	vggtest_1TJrceFMGrU_114000_124000	1	291	0.000000
206	8	1	vggtest_BQpa8whzwAE_30000_40000	1	577	0.000000
214	8	1	vggtest_eipkKgTKAN8_40000_50000	1	992	0.000000
222	8	2	vggtest_eipkKgTKAN8_40000_50000	1	992	0.000000
230	8	1	vggtest_-miI_C3At4Y_104000_114000	1	77	0.000000
238	8	1	vggtest_QFovsFrNNfw_136000_146000	1	776	0.000000
246	8	1	vggtest_ewm9cpk6GmY_30000_40000	1	995	0.000000
254	8	1	vggtest_0dd6AlyOnfc_30000_40000	1	183	0.000000
262	8	1	vggtest_0H2tR-oOvIY_3000_13000	1	124	0.000000
270	8	2	vggtest_0H2tR-oOvIY_3000_13000	1	124	0.000000
278	8	1	vggtest_lF1C6JSDZJU_209000_219000	1	1058	0.000000
286	8	1	vggtest_afvKRNCfIXA_240000_250000	1	943	0.000000
294	8	1	vggtest_1B-RuZgSqf8_30000_40000	1	238	0.000000
302	8	1	vggtest_SxI3Lnzzmkw_110000_120000	1	818	0.000000
310	8	1	vggtest_0hjqlmdPT6g_50000_60000	1	197	0.000000
318	8	1	vggtest_d_Hdkt1_ivo_30000_40000	1	976	0.000000
326	8	1	vggtest_vyYpxGJr7zI_30000_40000	1	1160	0.000000
334	8	1	vggtest_WdGkP2ID5S4_30000_40000	1	872	0.000000
342	8	1	vggtest_7-V8cMwkXTk_30000_40000	1	502	0.000000
350	8	1	vggtest_-BmjFZ1xu5Q_263000_273000	1	23	0.000000
358	8	1	vggtest_nt9PKJU4LLk_47000_57000	1	1092	0.000000
366	8	1	vggtest_bciLCctZfjE_200000_210000	1	954	0.000000
374	8	1	vggtest_0LwSy-xZSPw_112000_122000	1	136	0.000000
382	8	1	vggtest_2ACsPTob5cY_118000_128000	1	385	0.000000
390	8	2	vggtest_2ACsPTob5cY_118000_128000	1	385	0.000000
398	8	1	vggtest_9kIBkY7Tj5g_0_10000	1	543	0.000000
406	8	1	vggtest_Y0zPnwGCSw0_48000_58000	1	902	0.000000
414	8	1	vggtest_XCiz7m7HQrs_120000_130000	1	887	0.000000
422	8	1	vggtest_f52NbtQr2KQ_10000_20000	1	998	0.000000
430	8	1	vggtest_HwGK5RvNOFI_30000_40000	1	665	0.000000
438	8	1	vggtest_02Ak1eIyj3M_30000_40000	1	107	0.000000
446	8	1	vggtest_ToIdgjI3u4Q_30000_40000	1	831	0.000000
454	8	1	vggtest_Ht3h4-eNQCU_5000_15000	1	663	0.000000
462	8	1	vggtest_0N6S5OoG7Vg_150000_160000	1	139	0.000000
470	10	-2	n/a	n/a	n/a	0.000000
