onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	10	1	vggtest_-A1o1Egi20c_60000_70000	1	5	0.000000
40	10	1	vggtest_MLMRHScRnhs_42000_52000	1	711	0.000000
50	10	1	vggtest_LrcvUfmRN8k_30000_40000	1	704	0.000000
60	10	1	vggtest_mZ_z2lorJeY_70000_80000	1	1072	0.000000
70	10	1	vggtest_2eDP3jKoUd4_30000_40000	1	388	0.000000
80	10	1	vggtest_9c9dRz8t4bI_152000_162000	1	508	0.000000
90	10	1	vggtest_0KOPvSUlNjI_180000_190000	1	60	0.000000
100	10	1	vggtest_0hOD_iIeePk_30000_40000	1	126	0.000000
110	10	1	vggtest_kjGjMDpTzvs_320000_330000	1	1048	0.000000
120	10	1	vggtest_0SnjS2w_c80_520000_530000	1	78	0.000000
130	10	1	vggtest_qJT2h5uGAC0_930000_940000	1	1109	0.000000
140	10	1	vggtest_LOHw8cZZ9-U_450000_460000	1	697	0.000000
150	10	2	vggtest_LOHw8cZZ9-U_450000_460000	1	697	0.000000
160	10	1	vggtest_n-1ho8xiSGU_2000_12000	1	1079	0.000000
170	10	1	vggtest_mr8uEQKL1GY_161000_171000	1	1076	0.000000
180	10	1	vggtest_93vN8AS4jHY_67000_77000	1	501	0.000000
190	10	1	vggtest_l-iIfi3SNpw_120000_130000	1	1050	0.000000
200	10	1	vggtest_1aexyJH0jU8_2000_12000	1	258	0.000000
210	10	1	vggtest_A0dHhG6Y8C0_30000_40000	1	514	0.000000
220	10	2	vggtest_A0dHhG6Y8C0_30000_40000	1	514	0.000000
230	10	1	vggtest_k3AYfr6PIgs_19000_29000	1	1041	0.000000
240	10	1	vggtest_OPhporfGJg8_30000_40000	1	734	0.000000
250	10	1	vggtest_RYia-H9Hm88_0_10000	1	782	0.000000
260	10	1	vggtest_1-feQHDL-Qo_30000_40000	1	172	0.000000
270	10	1	vggtest_zgmAvQF1ojQ_49000_59000	1	1197	0.000000
280	10	1	vggtest_AzY_KZTSXJk_30000_40000	1	536	0.000000
290	10	1	vggtest_3vLc6D64xcs_330000_340000	1	420	0.000000
300	10	1	vggtest_1hwkxJOl1PY_20000_30000	1	283	0.000000
310	10	1	vggtest_D2ISzNuhtxE_9000_19000	1	576	0.000000
320	10	1	vggtest_RA8ck5zeHM0_0_10000	1	777	0.000000
330	10	2	vggtest_RA8ck5zeHM0_0_10000	1	777	0.000000
340	10	1	vggtest_0_9-dbUW0hU_30000_40000	1	101	0.000000
350	10	1	vggtest_Pair_NsHdTc_30000_40000	1	747	0.000000
360	10	1	vggtest_RVV2k3G6hes_14000_24000	1	781	0.000000
370	10	1	vggtest_cXEJWtj2kT8_30000_40000	1	960	0.000000
380	10	1	vggtest_JCapiyzc_AA_30000_40000	1	662	0.000000
390	10	1	vggtest_LMrVjK1otdM_131000_141000	1	695	0.000000
400	10	1	vggtest_1ZXe1qg_xeg_125000_135000	1	247	0.000000
410	10	1	vggtest_QAgy9r331v0_30000_40000	1	753	0.000000
420	10	1	vggtest_LwypJxIZ31w_1000_11000	1	706	0.000000
430	10	2	vggtest_LwypJxIZ31w_1000_11000	1	706	0.000000
440	10	1	vggtest_ZP0aFBkk3WE_92000_102000	1	907	0.000000
450	10	1	vggtest_I0jA3pAj5VI_27000_37000	1	638	0.000000
460	10	1	vggtest_1z19uJK6SB0_76000_86000	1	333	0.000000
470	10	1	vggtest_0N6S5OoG7Vg_150000_160000	1	65	0.000000
480	10	1	vggtest_hT2FAykn0Ao_35000_45000	1	1015	0.000000
490	10	1	vggtest_0fqtA_ZBn_8_30000_40000	1	121	0.000000
500	10	1	vggtest_vzY4mHyr-F8_214000_224000	1	1159	0.000000
510	10	1	vggtest_Hu1OmW6Glaw_30000_40000	1	636	0.000000
520	10	1	vggtest_0jy-sVREk4o_30000_40000	1	137	0.000000
530	10	1	vggtest_X3dPV8J8lnc_139000_149000	1	866	0.000000
540	10	1	vggtest_pFlcqWQVVuU_55000_65000	1	1102	0.000000
550	10	1	vggtest_hsBRizlT4Gw_160000_170000	1	1020	0.000000
560	10	1	vggtest_15aMq3FEyjQ_26000_36000	1	174	0.000000
570	10	2	vggtest_15aMq3FEyjQ_26000_36000	1	174	0.000000
580	10	-2	n/a	n/a	n/a	0.000000
