onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	10	1	vggtest_1JfwuwHV0hc_212000_222000	1	205	0.000000
40	10	1	vggtest_syJs8zsdI8o_34000_44000	1	1137	0.000000
50	10	1	vggtest_yGeIkgt-Hr0_19000_29000	1	1188	0.000000
60	10	1	vggtest_2Wk4Y3_dMuc_440000_450000	1	378	0.000000
70	10	1	vggtest_gh4oE_5g4YY_439000_449000	1	1010	0.000000
80	10	1	vggtest_HO7EiiblQe4_30000_40000	1	629	0.000000
90	10	1	vggtest_tA_NrYVTlps_24000_34000	1	1139	0.000000
100	10	1	vggtest_SSFFe1cVwgU_80000_90000	1	789	0.000000
110	10	1	vggtest_l5g1RkSYZdw_30000_40000	1	1053	0.000000
120	10	1	vggtest_6GDtb6DWKdE_103000_113000	1	452	0.000000
130	10	1	vggtest_ENQli94rpHM_0_10000	1	594	0.000000
140	10	1	vggtest_1De-OI8YG-M_7000_17000	1	186	0.000000
150	10	1	vggtest_2A63oYgod8Y_560000_570000	1	340	0.000000
160	10	1	vggtest_2eWobSpugTw_17000_27000	1	389	0.000000
170	10	1	vggtest_wJM6BaJ027w_496000_506000	1	1163	0.000000
180	10	2	vggtest_wJM6BaJ027w_496000_506000	1	1163	0.000000
190	10	1	vggtest_B6zw6kvaM_c_30000_40000	1	539	0.000000
200	10	1	vggtest_2BbBEozEiak_133000_143000	1	346	0.000000
210	10	1	vggtest_DvuXNSkGMes_7000_17000	1	588	0.000000
220	10	1	vggtest_oYFvyJtgE2E_108000_118000	1	1098	0.000000
230	10	1	vggtest_-nlkWWphiaM_30000_40000	1	14	0.000000
240	10	1	vggtest_F9bJVVYgFl4_73000_83000	1	607	0.000000
250	10	1	vggtest_aFKE_xiCSLY_99000_109000	1	931	0.000000
260	10	1	vggtest_2D0okq6-SBo_189000_199000	1	354	0.000000
270	10	2	vggtest_2D0okq6-SBo_189000_199000	1	354	0.000000
280	10	1	vggtest_0foC-4n-eH0_0_10000	1	120	0.000000
290	10	1	vggtest_tUrlSBYq_0o_30000_40000	1	1144	0.000000
300	10	1	vggtest_0wzsE67O5tE_230000_240000	1	168	0.000000
310	10	1	vggtest_lh9MwUqQI0Q_66000_76000	1	1061	0.000000
320	10	1	vggtest_nt9PKJU4LLk_47000_57000	1	1089	0.000000
330	10	1	vggtest_1mGE3y19p9g_129000_139000	1	292	0.000000
340	10	1	vggtest_1garMoYilAY_30000_40000	1	275	0.000000
350	10	1	vggtest_0YiyCktu7bs_1000_11000	1	97	0.000000
360	10	1	vggtest_NvIZAovN5s8_308000_318000	1	731	0.000000
370	10	1	vggtest_AL7eCaqpzLk_569000_579000	1	521	0.000000
380	10	1	vggtest_73cuZZq-J3w_20000_30000	1	468	0.000000
390	10	1	vggtest_0LY5zuRlIac_0_10000	1	61	0.000000
400	10	1	vggtest_lqWv4X8OhkA_300000_310000	1	1063	0.000000
410	10	1	vggtest_XUOtJ05Zg7E_120000_130000	1	880	0.000000
420	10	1	vggtest_Mb-GyQEKoEc_30000_40000	1	714	0.000000
430	10	1	vggtest_zk4YZ_mbx2c_12000_22000	1	1199	0.000000
440	10	1	vggtest_eoINKEFklgM_0_10000	1	988	0.000000
450	10	1	vggtest_2hNEs5VCQR8_106000_116000	1	396	0.000000
460	10	1	vggtest_xwrpD8jQupw_81000_91000	1	1186	0.000000
470	10	1	vggtest_eayGg2OlHOw_10000_20000	1	984	0.000000
480	10	1	vggtest_zHmBpBw3Fnw_43000_53000	1	1194	0.000000
490	10	2	vggtest_zHmBpBw3Fnw_43000_53000	1	1194	0.000000
500	10	1	vggtest_s1KjeqZlnIU_296000_306000	1	1129	0.000000
510	10	1	vggtest_MzK0doyIM70_500000_510000	1	719	0.000000
520	10	2	vggtest_MzK0doyIM70_500000_510000	1	719	0.000000
530	10	1	vggtest_4MTFkHIgWwg_71000_81000	1	428	0.000000
540	10	1	vggtest_ao-TFiShaWU_120000_130000	1	938	0.000000
550	10	2	vggtest_ao-TFiShaWU_120000_130000	1	938	0.000000
560	10	1	vggtest_1veIcvGPRYw_3000_13000	1	321	0.000000
570	10	1	vggtest_Qdr2xmK84Jo_30000_40000	1	766	0.000000
580	10	-2	n/a	n/a	n/a	0.000000
