onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	10	1	vggtest_W9CPGD_lR7g_5000_15000	1	841	0.000000
40	10	1	vggtest_L5UDz2PJ9sk_30000_40000	1	693	0.000000
50	10	1	vggtest_C0sSgrr5xrQ_30000_40000	1	556	0.000000
60	10	1	vggtest_6Yk15FbL2yw_81000_91000	1	456	0.000000
70	10	2	vggtest_6Yk15FbL2yw_81000_91000	1	456	0.000000
80	10	1	vggtest_1k0R3npPdKI_252000_262000	1	287	0.000000
90	10	1	vggtest_QlqLLZQLNiA_0_10000	1	767	0.000000
100	10	1	vggtest_0KAeUAAoVnY_143000_153000	1	57	0.000000
110	10	1	vggtest_MNXrgwjf4CY_356000_366000	1	712	0.000000
120	10	1	vggtest_ZahBai58_Ec_330000_340000	1	910	0.000000
130	10	1	vggtest_usfT2KJQhAc_48000_58000	1	1152	0.000000
140	10	1	vggtest_AKxm4V3OylU_30000_40000	1	520	0.000000
150	10	1	vggtest_0-o0oZvSFOk_30000_40000	1	20	0.000000
160	10	2	vggtest_0-o0oZvSFOk_30000_40000	1	20	0.000000
170	10	1	vggtest_WPY9SLh8dwY_390000_400000	1	850	0.000000
180	10	1	vggtest_0Olm321vgk8_30000_40000	1	71	0.000000
190	10	1	vggtest_elKhJvAaRlc_8000_18000	1	987	0.000000
200	10	1	vggtest_wTduj6YOVuU_10000_20000	1	1166	0.000000
210	10	1	vggtest_IlDRFxrDWw8_90000_100000	1	652	0.000000
220	10	1	vggtest_OifvajLsn5I_30000_40000	1	738	0.000000
230	10	1	vggtest_a802qKb_itM_24000_34000	1	928	0.000000
240	10	1	vggtest_1QBsc_IXg8U_750000_760000	1	225	0.000000
250	10	1	vggtest_ZwAplWOatRo_20000_30000	1	913	0.000000
260	10	1	vggtest_i3022Z7Sm-A_123000_133000	1	1022	0.000000
270	10	2	vggtest_i3022Z7Sm-A_123000_133000	1	1022	0.000000
280	10	1	vggtest_HJGtRMubleU_30000_40000	1	626	0.000000
290	10	1	vggtest_GnmgSQq6E54_180000_190000	1	622	0.000000
300	10	1	vggtest_gGmvLozUXgE_24000_34000	1	1005	0.000000
310	10	1	vggtest_0loP4WNnL2k_0_10000	1	140	0.000000
320	10	1	vggtest_C8q-VueE_ok_330000_340000	1	561	0.000000
330	10	1	vggtest_JW3fRqCF5bY_130000_140000	1	666	0.000000
340	10	1	vggtest_mK_y20VBdZM_307000_317000	1	1070	0.000000
350	10	1	vggtest_1uCzQCdCC1U_170000_180000	1	317	0.000000
360	10	1	vggtest_L3wNweyCqdY_394000_404000	1	692	0.000000
370	10	1	vggtest_0he6VV5Y9Bg_30000_40000	1	128	0.000000
380	10	1	vggtest_KRtYq1p2Tyg_6000_16000	1	682	0.000000
390	10	1	vggtest_0slFEpnTKkY_115000_125000	1	156	0.000000
400	10	1	vggtest_bO9-u7AH8B8_30000_40000	1	944	0.000000
410	10	1	vggtest_1JSbmO1NQzk_130000_140000	1	202	0.000000
420	10	1	vggtest_bm5IT7e2vvI_120000_130000	1	950	0.000000
430	10	1	vggtest_F-p8xsDSjnw_30000_40000	1	604	0.000000
440	10	2	vggtest_F-p8xsDSjnw_30000_40000	1	604	0.000000
450	10	1	vggtest_1MaEJRh2oGY_89000_99000	1	215	0.000000
460	10	1	vggtest_1cxvg7qu0G0_70000_80000	1	265	0.000000
470	10	1	vggtest_1yWGmdevTuM_30000_40000	1	330	0.000000
480	10	1	vggtest_1XO0SqsZhHU_30000_40000	1	243	0.000000
490	10	1	vggtest_XPxukUQmF00_30000_40000	1	877	0.000000
500	10	1	vggtest_KU0aL_iR0_I_560000_570000	1	683	0.000000
510	10	2	vggtest_KU0aL_iR0_I_560000_570000	1	683	0.000000
520	10	1	vggtest_1tobDIRRV0A_30000_40000	1	315	0.000000
530	10	1	vggtest_0HXYdGGKV2k_30000_40000	1	52	0.000000
540	10	1	vggtest_LTA3ncpTnUo_30000_40000	1	699	0.000000
550	10	1	vggtest_zBabZOv4dGw_380000_390000	1	1193	0.000000
560	10	1	vggtest_Mr8WsLsNp0A_2000_12000	1	718	0.000000
570	10	1	vggtest_Bq10zG74Wc0_40000_50000	1	551	0.000000
580	10	-2	n/a	n/a	n/a	0.000000
