onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	10	1	vggtest_oSj9IbDiWks_0_10000	1	1096	0.000000
40	10	1	vggtest_WpZnqqaDr1A_380000_390000	1	858	0.000000
50	10	1	vggtest_K9bWqZczmeA_780000_790000	1	679	0.000000
60	10	1	vggtest_J3yMNpeDo6Q_30000_40000	1	659	0.000000
70	10	1	vggtest_wDg2v3NuCoQ_75000_85000	1	1162	0.000000
80	10	1	vggtest_jZ9mYtCAGf8_150000_160000	1	1037	0.000000
90	10	1	vggtest_Y7aU3aCEf5A_30000_40000	1	892	0.000000
100	10	1	vggtest_1Tg9VvRZN5k_30000_40000	1	236	0.000000
110	10	1	vggtest_F5iBhMGDdwE_70000_80000	1	605	0.000000
120	10	1	vggtest_Nht8x-egV7Y_15000_25000	1	727	0.000000
130	10	1	vggtest_PVgL5wFOKMs_30000_40000	1	742	0.000000
140	10	1	vggtest_NFjonUQRHfE_20000_30000	1	721	0.000000
150	10	1	vggtest_6-yQsEH2WYA_30000_40000	1	448	0.000000
160	10	1	vggtest_1ZgXgyEJSbc_390000_400000	1	248	0.000000
170	10	1	vggtest_2i4UNf8tjvU_30000_40000	1	398	0.000000
180	10	1	vggtest_0onKcFY1Tu0_2000_12000	1	150	0.000000
190	10	1	vggtest_YoSAZzE9tMI_30000_40000	1	898	0.000000
200	10	2	vggtest_YoSAZzE9tMI_30000_40000	1	898	0.000000
210	10	1	vggtest_A24InXJHgOk_28000_38000	1	515	0.000000
220	10	1	vggtest_hzcbx3uU3SI_73000_83000	1	1021	0.000000
230	10	1	vggtest_6qX8ykNoVls_22000_32000	1	463	0.000000
240	10	1	vggtest_AUXS8zwFV0k_30000_40000	1	524	0.000000
250	10	1	vggtest_9SVbr69L7wM_60000_70000	1	506	0.000000
260	10	1	vggtest_0g4SlqjORM4_80000_90000	1	123	0.000000
270	10	1	vggtest_eZUfoLIVrJ8_220000_230000	1	983	0.000000
280	10	2	vggtest_eZUfoLIVrJ8_220000_230000	1	983	0.000000
290	10	1	vggtest_0dUL0EweBEY_387000_397000	1	114	0.000000
300	10	2	vggtest_0dUL0EweBEY_387000_397000	1	114	0.000000
310	10	1	vggtest_dVYjJc2KdnY_90000_100000	1	968	0.000000
320	10	1	vggtest_nEX4I5j6H-Y_151000_161000	1	1081	0.000000
330	10	1	vggtest_WftXzNONXZo_169000_179000	1	855	0.000000
340	10	1	vggtest_X3Ukm37HbE0_30000_40000	1	865	0.000000
350	10	1	vggtest_0KIC9xmmD8g_105000_115000	1	59	0.000000
360	10	1	vggtest_4Q1DDOpej1o_0_10000	1	429	0.000000
370	10	1	vggtest_1rJWW_KqeAw_30000_40000	1	309	0.000000
380	10	1	vggtest_7PEL4NrU1Jk_23000_33000	1	477	0.000000
390	10	1	vggtest_2xQuWif8axE_30000_40000	1	406	0.000000
400	10	1	vggtest_26dqZUTv5os_175000_185000	1	338	0.000000
410	10	1	vggtest_2o4-lEtFb2k_60000_70000	1	402	0.000000
420	10	1	vggtest_9BGpWG8iqpQ_0_10000	1	505	0.000000
430	10	1	vggtest_7yjEC7Cr6i8_30000_40000	1	482	0.000000
440	10	1	vggtest_JjqHDGzcz6c_100000_110000	1	671	0.000000
450	10	1	vggtest_8YSDo1wTo3M_28000_38000	1	491	0.000000
460	10	1	vggtest_hpLvqSrTRTQ_30000_40000	1	1018	0.000000
470	10	1	vggtest_kTu8XtF-gzc_57000_67000	1	1043	0.000000
480	10	2	vggtest_kTu8XtF-gzc_57000_67000	1	1043	0.000000
490	10	1	vggtest_XCiz7m7HQrs_120000_130000	1	871	0.000000
500	10	1	vggtest_23xC7lTBikU_20000_30000	1	336	0.000000
510	10	1	vggtest_IiJciyiQBDw_10000_20000	1	651	0.000000
520	10	2	vggtest_IiJciyiQBDw_10000_20000	1	651	0.000000
530	10	1	vggtest_84JbG7gFceA_7000_17000	1	483	0.000000
540	10	1	vggtest_bciLCctZfjE_200000_210000	1	948	0.000000
550	10	1	vggtest_XkwleyFCBrI_180000_190000	1	883	0.000000
560	10	1	vggtest_yc4mmvlO39M_30000_40000	1	1189	0.000000
570	10	1	vggtest_0HbhE91JB-k_360000_370000	1	53	0.000000
580	10	-2	n/a	n/a	n/a	0.000000
