onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	10	1	EnF1_EnM1	1	12	0.000000
40	10	1	Ani2_Mus2	1	10	0.000000
50	4	2	task	1	9999	0.000000
54	10	1	Mus1_EnM1	1	45	0.000000
64	10	1	EnM1_Ani1	1	19	0.000000
74	10	1	EnF1_Ani1	1	11	0.000000
84	10	1	For2_Ani2	1	40	0.000000
94	10	1	Ani2_EnM2	1	7	0.000000
104	4	2	task	1	9999	0.000000
108	10	1	EnF1_Mus1	1	14	0.000000
118	10	1	Ani1_EnM1	1	2	0.000000
128	10	1	Ani1_Mus1	1	5	0.000000
138	4	2	task	1	9999	0.000000
142	10	1	Mus1_For1	1	47	0.000000
152	10	1	Ani1_EnF1	1	1	0.000000
162	10	1	EnM1_EnF1	1	20	0.000000
172	10	1	For2_Env2	1	41	0.000000
182	10	1	For1_Env1	1	38	0.000000
192	10	1	Mus2_EnF2	1	49	0.000000
202	10	1	EnF1_Env1	1	13	0.000000
212	10	1	Env2_EnF2	1	33	0.000000
222	10	1	Env2_For2	1	35	0.000000
232	10	1	Mus1_Ani1	1	43	0.000000
242	10	1	Mus2_Env2	1	51	0.000000
252	10	1	Env2_Ani2	1	32	0.000000
262	10	1	Mus2_For2	1	52	0.000000
272	10	1	Mus2_Ani2	1	48	0.000000
282	4	2	task	1	9999	0.000000
286	10	1	For1_Ani1	1	37	0.000000
296	10	1	EnM2_Ani2	1	23	0.000000
306	10	1	For2_Mus2	1	42	0.000000
316	10	1	Env1_EnF1	1	28	0.000000
326	10	1	Ani1_Env1	1	3	0.000000
336	10	1	Ani2_EnF2	1	6	0.000000
346	10	1	Env2_EnM2	1	34	0.000000
356	10	1	Env2_Mus2	1	36	0.000000
366	10	1	EnM2_EnF2	1	24	0.000000
376	10	1	Mus1_EnF1	1	44	0.000000
386	10	1	Env1_EnM1	1	29	0.000000
396	10	1	Mus1_Env1	1	46	0.000000
406	10	1	Ani2_Env2	1	8	0.000000
416	10	1	EnF2_Mus2	1	18	0.000000
426	10	1	EnF2_Ani2	1	15	0.000000
436	10	1	EnM2_Mus2	1	26	0.000000
446	10	1	EnF2_Env2	1	17	0.000000
456	10	1	EnM1_Mus1	1	22	0.000000
466	10	1	Env1_Mus1	1	31	0.000000
476	10	1	EnF2_EnM2	1	16	0.000000
486	10	1	EnM1_Env1	1	21	0.000000
496	10	1	Ani1_For1	1	4	0.000000
506	10	1	Mus2_EnM2	1	50	0.000000
516	10	1	Env1_Ani1	1	27	0.000000
526	10	1	EnM2_Env2	1	25	0.000000
536	10	1	For1_Mus1	1	39	0.000000
546	10	1	Ani2_For2	1	9	0.000000
556	10	1	Env1_For1	1	30	0.000000
566	4	2	task	1	9999	0.000000
570	6	-2	n/a	n/a	n/a	0.000000
