onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	8	1	vggtest_IUItviB2VsQ_30000_40000	1	675	0.000000
38	8	1	vggtest_xv35vO58cjY_271000_281000	1	1184	0.000000
46	8	1	vggtest_-Wd5YV97ftU_320000_330000	1	47	0.000000
54	8	1	vggtest_4qLAn6_xfCY_430000_440000	1	470	0.000000
62	8	1	vggtest_3t6pqBKV0kY_30000_40000	1	455	0.000000
70	8	1	vggtest_0G50t4FlbIA_60000_70000	1	122	0.000000
78	8	1	vggtest_qoo1sZq09pQ_180000_190000	1	1118	0.000000
86	8	1	vggtest_B6zw6kvaM_c_30000_40000	1	571	0.000000
94	8	1	vggtest_0mNvPaqfwUI_220000_230000	1	207	0.000000
102	8	2	vggtest_0mNvPaqfwUI_220000_230000	1	207	0.000000
110	8	1	vggtest_1MgcrYdYas0_30000_40000	1	276	0.000000
118	8	1	vggtest_l-kcXXZIVLs_190000_200000	1	1054	0.000000
126	8	1	vggtest_wDg2v3NuCoQ_75000_85000	1	1164	0.000000
134	8	2	vggtest_wDg2v3NuCoQ_75000_85000	1	1164	0.000000
142	8	1	vggtest_0-jDld11jhw_93000_103000	1	99	0.000000
150	8	2	vggtest_0-jDld11jhw_93000_103000	1	99	0.000000
158	8	1	vggtest_6-yQsEH2WYA_30000_40000	1	484	0.000000
166	8	1	vggtest_TRW3OqA1cXE_30000_40000	1	825	0.000000
174	8	1	vggtest_Av2DNdWzziA_35000_45000	1	563	0.000000
182	8	1	vggtest_-e4wXAy1iVo_0_10000	1	58	0.000000
190	8	1	vggtest_8YSDo1wTo3M_28000_38000	1	526	0.000000
198	8	1	vggtest_mxy5qcJckDQ_195000_205000	1	1080	0.000000
206	8	1	vggtest__E3-DzuWPs4_132000_142000	1	923	0.000000
214	8	1	vggtest_0q9FUj_2qMc_539000_549000	1	218	0.000000
222	8	1	vggtest_1mMqLP36sCQ_245000_255000	1	344	0.000000
230	8	1	vggtest_1WI9921OeRc_570000_580000	1	297	0.000000
238	8	1	vggtest_2PHV2xNjGVU_126000_136000	1	414	0.000000
246	8	1	vggtest_1SPu2hsIhDw_167000_177000	1	289	0.000000
254	8	1	vggtest_1WLMVX_Y2Pk_18000_28000	1	298	0.000000
262	8	1	vggtest_o0Bn4m6dQbI_100000_110000	1	1095	0.000000
270	8	1	vggtest_WGuc_McKm_4_30000_40000	1	864	0.000000
278	8	1	vggtest_7y9hIjH_7do_90000_100000	1	516	0.000000
286	8	1	vggtest_wOzgCyoi9l8_74000_84000	1	1167	0.000000
294	8	1	vggtest_1bIH_Qh_clk_30000_40000	1	314	0.000000
302	8	1	vggtest_00gxEsWO4mo_259000_269000	1	102	0.000000
310	8	1	vggtest_aF399DNTMlo_8000_18000	1	936	0.000000
318	8	1	vggtest_f4X127h2Slk_37000_47000	1	997	0.000000
326	8	1	vggtest_0Z760XNy4VM_30000_40000	1	169	0.000000
334	8	1	vggtest_DkhdvvtvwTE_20000_30000	1	616	0.000000
342	8	1	vggtest_R6EbA_Is4gc_520000_530000	1	796	0.000000
350	8	1	vggtest_PVgL5wFOKMs_30000_40000	1	763	0.000000
358	8	1	vggtest_1e0_4dwF9A4_30000_40000	1	322	0.000000
366	8	1	vggtest_2bYyywE97aA_30000_40000	1	424	0.000000
374	8	1	vggtest_g2at4AqJsqk_142000_152000	1	1008	0.000000
382	8	1	vggtest_CSn5FP1c1AQ_17000_27000	1	598	0.000000
390	8	1	vggtest_1xZESfMpi9Q_156000_166000	1	374	0.000000
398	8	2	vggtest_1xZESfMpi9Q_156000_166000	1	374	0.000000
406	8	1	vggtest_0olhNr566Z0_18000_28000	1	214	0.000000
414	8	1	vggtest_1rJWW_KqeAw_30000_40000	1	357	0.000000
422	8	1	vggtest_C9f_yqkzqac_510000_520000	1	593	0.000000
430	8	1	vggtest_NcIR-UiXJI0_30000_40000	1	745	0.000000
438	8	2	vggtest_NcIR-UiXJI0_30000_40000	1	745	0.000000
446	8	1	vggtest_eZUfoLIVrJ8_220000_230000	1	989	0.000000
454	8	1	vggtest_9rXAmXuAOw8_0_10000	1	545	0.000000
462	8	1	vggtest_0PKdFG3iB8w_430000_440000	1	146	0.000000
470	10	-2	n/a	n/a	n/a	0.000000
