onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	10	1	vggtest_1MaEJRh2oGY_34000_44000	1	214	0.000000
40	10	1	vggtest_EU0Vrwxs7pU_170000_180000	1	598	0.000000
50	10	1	vggtest_r1XXnstW6Vk_66000_76000	1	1118	0.000000
60	10	2	vggtest_r1XXnstW6Vk_66000_76000	1	1118	0.000000
70	10	1	vggtest_EIzBD62ja8E_30000_40000	1	593	0.000000
80	10	2	vggtest_EIzBD62ja8E_30000_40000	1	593	0.000000
90	10	1	vggtest_oOoxb4Fr65k_0_10000	1	1095	0.000000
100	10	1	vggtest_89PzuqeWWYQ_24000_34000	1	484	0.000000
110	10	1	vggtest_PaJatNJhmsQ_0_10000	1	745	0.000000
120	10	1	vggtest_0F04c_rY4aw_0_10000	1	47	0.000000
130	10	1	vggtest_42CPymJ_MXI_60000_70000	1	424	0.000000
140	10	1	vggtest_l9ElMSuNwnI_134000_144000	1	1054	0.000000
150	10	1	vggtest_2BMOGrFU_m8_167000_177000	1	344	0.000000
160	10	1	vggtest_1n6JyJt4kJ4_18000_28000	1	298	0.000000
170	10	1	vggtest_2P1uwGQfaPA_4000_14000	1	374	0.000000
180	10	1	vggtest_0ZxpQ87jdgQ_37000_47000	1	99	0.000000
190	10	2	vggtest_0ZxpQ87jdgQ_37000_47000	1	99	0.000000
200	10	1	vggtest_1vy-ZxTMQf4_377000_387000	1	322	0.000000
210	10	1	vggtest_SkyxbPeBxNA_0_10000	1	796	0.000000
220	10	1	vggtest_Ub7DXmyQonI_30000_40000	1	825	0.000000
230	10	1	vggtest_1kiR-BU9Fik_71000_81000	1	289	0.000000
240	10	1	vggtest_CEzyxkUbG9A_30000_40000	1	563	0.000000
250	10	1	vggtest_A2D_eaALRug_19000_29000	1	516	0.000000
260	10	1	vggtest_79undeYvXOE_200000_210000	1	470	0.000000
270	10	2	vggtest_79undeYvXOE_200000_210000	1	470	0.000000
280	10	1	vggtest_1n5uFGk2pnc_58000_68000	1	297	0.000000
290	10	1	vggtest_ewm9cpk6GmY_30000_40000	1	989	0.000000
300	10	1	vggtest_QRLfJ0FuEbc_267000_277000	1	763	0.000000
310	10	1	vggtest_K-Zg1-fR9kU_88000_98000	1	675	0.000000
320	10	1	vggtest_1KLmIS-v60U_10000_20000	1	207	0.000000
330	10	1	vggtest__loJG92_VBE_50000_60000	1	923	0.000000
340	10	1	vggtest_0x9TnOQ5Nhw_20000_30000	1	169	0.000000
350	10	2	vggtest_0x9TnOQ5Nhw_20000_30000	1	169	0.000000
360	10	1	vggtest_xv35vO58cjY_271000_281000	1	1184	0.000000
370	10	1	vggtest_6Y8bKS6KLeE_30000_40000	1	455	0.000000
380	10	1	vggtest_1tn0MJTOprg_3000_13000	1	314	0.000000
390	10	1	vggtest_wVK0m7FDkGs_58000_68000	1	1167	0.000000
400	10	1	vggtest_BQpa8whzwAE_30000_40000	1	545	0.000000
410	10	1	vggtest_0_B2YnBAz3A_220000_230000	1	102	0.000000
420	10	1	vggtest_wMLgi-rb6UM_0_10000	1	1164	0.000000
430	10	1	vggtest_0fsFWLev-q4_257000_267000	1	122	0.000000
440	10	1	vggtest_1hIg-Lsvc7Q_30000_40000	1	276	0.000000
450	10	1	vggtest_0KAeUAAoVnY_186000_196000	1	58	0.000000
460	10	1	vggtest_X2IUVELRuzs_110000_120000	1	864	0.000000
470	10	1	vggtest_AZfD5KrH5d8_30000_40000	1	526	0.000000
480	10	1	vggtest_n6lloBIIZ-k_30000_40000	1	1080	0.000000
490	10	1	vggtest_fOc6JNNdLaQ_30000_40000	1	997	0.000000
500	10	1	vggtest_1Ny5ZlcBlcQ_30000_40000	1	218	0.000000
510	10	1	vggtest_gd2-qjVH_DI_20000_30000	1	1008	0.000000
520	10	1	vggtest_Co7vOJiMeO0_64000_74000	1	571	0.000000
530	10	1	vggtest_G880gxjj9dI_30000_40000	1	616	0.000000
540	10	1	vggtest_0nYltlo90Zc_161000_171000	1	146	0.000000
550	10	1	vggtest_abkHKDE-IDc_30000_40000	1	936	0.000000
560	10	1	vggtest_2EaYSObne7M_369000_379000	1	357	0.000000
570	10	1	vggtest_3O7CzEL0pXA_421000_431000	1	414	0.000000
580	10	-2	n/a	n/a	n/a	0.000000
