onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	8	1	vggtest_1aexyJH0jU8_2000_12000	1	313	0.000000
38	8	1	vggtest_iUoFC-GUq8o_113000_123000	1	1030	0.000000
46	8	1	vggtest_JIMJ7ewIoPA_30000_40000	1	688	0.000000
54	8	1	vggtest_-HMEhGV38GM_216000_226000	1	28	0.000000
62	8	1	vggtest_-2sOH8XovEE_484000_494000	1	8	0.000000
70	8	2	vggtest_-2sOH8XovEE_484000_494000	1	8	0.000000
78	8	1	vggtest_-l-E3kyNcag_150000_160000	1	75	0.000000
86	8	1	vggtest_F-c6oa091zo_150000_160000	1	632	0.000000
94	8	1	vggtest_zxpo56cpUBU_7000_17000	1	1200	0.000000
102	8	2	vggtest_zxpo56cpUBU_7000_17000	1	1200	0.000000
110	8	1	vggtest_lh9MwUqQI0Q_66000_76000	1	1064	0.000000
118	8	1	vggtest_Tc9sb71px5I_30000_40000	1	827	0.000000
126	8	1	vggtest_1_0T2ZIjWnw_31000_41000	1	306	0.000000
134	8	1	vggtest_6EIgJvYx4AE_551000_561000	1	487	0.000000
142	8	1	vggtest_vdh5LqgvSLU_37000_47000	1	1158	0.000000
150	8	1	vggtest_1w_iLXQb-9Q_7000_17000	1	370	0.000000
158	8	1	vggtest_TC3Z6NuoFz8_460000_470000	1	822	0.000000
166	8	1	vggtest_eMQQRvh-BUI_30000_40000	1	986	0.000000
174	8	1	vggtest_ZahBai58_Ec_330000_340000	1	920	0.000000
182	8	1	vggtest_OTZDYafhtKY_634000_644000	1	756	0.000000
190	8	1	vggtest_G880gxjj9dI_30000_40000	1	645	0.000000
198	8	1	vggtest_-7YESdyyHVw_10000_20000	1	18	0.000000
206	8	1	vggtest_1ZwVoNUvaAE_0_10000	1	305	0.000000
214	8	1	vggtest_b7KM28chL14_32000_42000	1	947	0.000000
222	8	1	vggtest_2I0ns0crmrA_6000_16000	1	407	0.000000
230	8	1	vggtest_Bf2m1sXaXk4_10000_20000	1	580	0.000000
238	8	1	vggtest_2Oe5kao1ycY_310000_320000	1	412	0.000000
246	8	1	vggtest_0SnjS2w_c80_520000_530000	1	152	0.000000
254	8	1	vggtest_cOgNXgF21u4_30000_40000	1	965	0.000000
262	8	1	vggtest_Q6pnggPsxDw_70000_80000	1	773	0.000000
270	8	1	vggtest_TR4-xSB97w8_30000_40000	1	824	0.000000
278	8	1	vggtest_wYNKH0Ou9vM_80000_90000	1	1170	0.000000
286	8	1	vggtest_0nib7bMm8BA_15000_25000	1	212	0.000000
294	8	2	vggtest_0nib7bMm8BA_15000_25000	1	212	0.000000
302	8	1	vggtest_aFKE_xiCSLY_99000_109000	1	937	0.000000
310	8	1	vggtest_bm5IT7e2vvI_120000_130000	1	956	0.000000
318	8	1	vggtest_7PEL4NrU1Jk_23000_33000	1	512	0.000000
326	8	1	vggtest_1Ny5ZlcBlcQ_30000_40000	1	277	0.000000
334	8	1	vggtest_-nQ9a0P1TlY_23000_33000	1	80	0.000000
342	8	1	vggtest_2i4UNf8tjvU_30000_40000	1	436	0.000000
350	8	1	vggtest_6fQqyrMAuFI_500000_510000	1	493	0.000000
358	8	1	vggtest_2-XyCIq8Yp0_50000_60000	1	380	0.000000
366	8	1	vggtest_1_v-Kro86Io_10000_20000	1	308	0.000000
374	8	2	vggtest_1_v-Kro86Io_10000_20000	1	308	0.000000
382	8	1	vggtest_1ZgXgyEJSbc_390000_400000	1	304	0.000000
390	8	1	vggtest_1eP5LSjyge0_220000_230000	1	324	0.000000
398	8	1	vggtest_UCgErb1ImPY_31000_41000	1	837	0.000000
406	8	1	vggtest_0eTrzI5-ong_30000_40000	1	185	0.000000
414	8	2	vggtest_0eTrzI5-ong_30000_40000	1	185	0.000000
422	8	1	vggtest_1ZXe1qg_xeg_125000_135000	1	303	0.000000
430	8	1	vggtest_si_IAMPOXlQ_170000_180000	1	1138	0.000000
438	8	1	vggtest_-oSzD8P2BtU_30000_40000	1	84	0.000000
446	8	1	vggtest_qFW6oa3jgg8_210000_220000	1	1110	0.000000
454	8	1	vggtest_0Cl6hXpryhY_30000_40000	1	115	0.000000
462	8	1	vggtest_1XZyIaJT8Lw_106000_116000	1	300	0.000000
470	10	-2	n/a	n/a	n/a	0.000000
