onset	duration	trial_type	stimulus_name	category_index	sound_index	response_time
0	30	-1	n/a	n/a	n/a	0.000000
30	10	1	vggtest_Bqy0tD6mCPs_270000_280000	1	552	0.000000
40	10	1	vggtest_NcIR-UiXJI0_30000_40000	1	724	0.000000
50	10	1	vggtest_C46X66FU_Dw_30000_40000	1	559	0.000000
60	10	1	vggtest_qadaulWp2m4_64000_74000	1	1112	0.000000
70	10	1	vggtest_2FtVHJ91gDc_45000_55000	1	361	0.000000
80	10	1	vggtest_eFzyxoc1w1g_10000_20000	1	978	0.000000
90	10	1	vggtest_dqt_MzUQ20M_80000_90000	1	975	0.000000
100	10	1	vggtest_TmwM6LCcIBg_130000_140000	1	811	0.000000
110	10	1	vggtest_g9Qah25_yH0_14000_24000	1	1003	0.000000
120	10	2	vggtest_g9Qah25_yH0_14000_24000	1	1003	0.000000
130	10	1	vggtest_r4BoQxrLtic_30000_40000	1	1119	0.000000
140	10	1	vggtest_CWY1Y5hjfpo_30000_40000	1	569	0.000000
150	10	1	vggtest_HWjQnxlvwa0_430000_440000	1	630	0.000000
160	10	1	vggtest_1RhYdQnZ_hw_30000_40000	1	229	0.000000
170	10	1	vggtest_I1NE3H6soBU_300000_310000	1	639	0.000000
180	10	1	vggtest_1BivKH8w7Fo_37000_47000	1	176	0.000000
190	10	1	vggtest_YNNepx1HYM8_31000_41000	1	893	0.000000
200	10	1	vggtest_mxy5qcJckDQ_195000_205000	1	1077	0.000000
210	10	2	vggtest_mxy5qcJckDQ_195000_205000	1	1077	0.000000
220	10	1	vggtest_0D8KognM4uY_282000_292000	1	43	0.000000
230	10	1	vggtest_2ofK2gAQue4_180000_190000	1	403	0.000000
240	10	1	vggtest_1F23RciUwDE_30000_40000	1	193	0.000000
250	10	1	vggtest_0iiwZ2_9Vi8_90000_100000	1	132	0.000000
260	10	1	vggtest_0CQnnJq9xn0_75000_85000	1	38	0.000000
270	10	1	vggtest_XIohMvtR0Og_30000_40000	1	876	0.000000
280	10	1	vggtest_PwazdGn6ldc_30000_40000	1	750	0.000000
290	10	1	vggtest_nhxCeq3sg2U_153000_163000	1	1087	0.000000
300	10	1	vggtest_1CIh0UNxXrI_50000_60000	1	180	0.000000
310	10	1	vggtest_hcOkk03PnZE_110000_120000	1	1016	0.000000
320	10	2	vggtest_hcOkk03PnZE_110000_120000	1	1016	0.000000
330	10	1	vggtest_WGOZNdTXITQ_205000_215000	1	845	0.000000
340	10	1	vggtest_G1OlHEvPRT8_30000_40000	1	613	0.000000
350	10	1	vggtest_9wkgTdE7nz8_30000_40000	1	513	0.000000
360	10	1	vggtest_1DrrBnFlylU_0_10000	1	188	0.000000
370	10	1	vggtest__P96ibCmCt0_140000_150000	1	916	0.000000
380	10	1	vggtest_0H2tR-oOvIY_3000_13000	1	50	0.000000
390	10	1	vggtest_QFovsFrNNfw_136000_146000	1	755	0.000000
400	10	1	vggtest_If1yxmaJ14M_170000_180000	1	650	0.000000
410	10	1	vggtest_Tc9sb71px5I_30000_40000	1	808	0.000000
420	10	2	vggtest_Tc9sb71px5I_30000_40000	1	808	0.000000
430	10	1	vggtest_bgGgPPudjlQ_209000_219000	1	949	0.000000
440	10	1	vggtest_gqYkg6Y3MHg_11000_21000	1	1011	0.000000
450	10	2	vggtest_gqYkg6Y3MHg_11000_21000	1	1011	0.000000
460	10	1	vggtest_2es7oZzwLWM_30000_40000	1	391	0.000000
470	10	1	vggtest_lI3P985JB7k_105000_115000	1	1056	0.000000
480	10	1	vggtest_8m1ketVhQCM_78000_88000	1	495	0.000000
490	10	1	vggtest_XiQhJPkvn1I_654000_664000	1	881	0.000000
500	10	1	vggtest_yy0n-N17n04_10000_20000	1	1191	0.000000
510	10	1	vggtest_ALtDtYnWFuo_30000_40000	1	522	0.000000
520	10	1	vggtest_d5qR0aff0Kk_30000_40000	1	967	0.000000
530	10	1	vggtest_Bf3aAtNK8Sk_30000_40000	1	549	0.000000
540	10	1	vggtest_QySssFgqGq0_121000_131000	1	772	0.000000
550	10	1	vggtest_WdGkP2ID5S4_30000_40000	1	854	0.000000
560	10	1	vggtest_XS-3djsJWTA_360000_370000	1	878	0.000000
570	10	1	vggtest_2GOPuGmcHH0_20000_30000	1	364	0.000000
580	10	-2	n/a	n/a	n/a	0.000000
